ID Number,Day of Rating,Month of Rating,Year of Rating
443,7,6,2001
440,2,11,2001
289,27,4,2001
7,24,12,2001
368,31,10,2001
65,3,7,2001
40,21,5,2001
20,3,4,2001
490,1,6,2001
458,18,7,2001
32,6,4,2001
41,22,2,2001
407,25,6,2001
204,23,4,2001
286,2,11,2001
246,18,6,2001
138,30,8,2001
292,2,7,2001
293,28,11,2001
347,23,7,2001
131,15,5,2001
487,10,4,2001
301,19,2,2001
127,6,8,2001
203,7,11,2001
84,23,1,2001
384,27,8,2001
215,21,5,2001
79,23,1,2001
279,30,7,2001
314,7,12,2001
188,20,4,2001
424,23,10,2001
78,14,2,2001
296,14,8,2001
75,19,12,2001
105,27,8,2001
493,15,3,2001
70,10,1,2001
125,3,8,2001
350,11,1,2001
459,6,11,2001
199,14,12,2001
243,5,4,2001
146,26,6,2001
342,5,9,2001
83,18,1,2001
272,29,6,2001
69,4,6,2001
274,20,11,2001
130,2,5,2001
429,12,1,2001
391,17,1,2001
226,18,1,2001
273,26,11,2001
173,3,9,2001
372,23,12,2001
170,18,7,2001
225,1,2,2001
453,27,7,2001
10,30,7,2001
38,5,9,2001
352,21,12,2001
57,9,7,2001
1,1,8,2001
81,5,11,2001
388,14,8,2001
51,21,2,2001
190,5,7,2001
330,10,5,2001
470,28,3,2001
313,23,3,2001
189,25,1,2001
54,27,7,2001
265,18,10,2001
29,7,9,2001
240,30,10,2001
361,6,7,2001
11,13,11,2001
316,2,3,2001
438,5,10,2001
276,30,4,2001
47,11,12,2001
58,15,3,2001
253,2,3,2001
471,24,4,2001
95,5,1,2001
474,18,1,2001
376,29,6,2001
343,27,9,2001
50,10,7,2001
338,2,5,2001
481,9,8,2001
103,26,7,2001
496,4,6,2001
86,15,1,2001
394,19,11,2001
403,17,7,2001
153,24,9,2001
418,28,11,2001
220,30,1,2001
6,6,9,2001
499,10,8,2001
413,8,10,2001
466,22,5,2001
349,12,7,2001
358,23,11,2001
210,14,2,2001
353,27,9,2001
264,13,7,2001
36,20,8,2001
16,4,12,2001
161,26,3,2001
245,2,11,2001
423,15,6,2001
436,13,12,2001
128,13,7,2001
305,22,10,2001
498,18,12,2001
120,15,6,2001
351,21,6,2001
206,3,8,2001
3,3,4,2001
104,23,10,2001
44,23,4,2001
356,26,1,2001
434,21,12,2001
42,31,1,2001
239,21,9,2001
52,15,5,2001
195,11,6,2001
411,6,6,2001
155,23,4,2001
456,1,11,2001
77,28,8,2001
410,31,7,2001
306,12,3,2001
378,4,9,2001
461,10,8,2001
252,21,9,2001
227,9,10,2001
237,25,4,2001
158,16,10,2001
307,10,4,2001
238,12,1,2001
325,15,8,2001
441,21,9,2001
166,8,6,2001
254,10,12,2001
366,25,5,2001
421,31,1,2001
259,16,7,2001
251,27,4,2001
14,19,3,2001
460,16,8,2001
33,5,11,2001
401,22,5,2001
492,24,5,2001
300,26,6,2001
213,27,3,2001
143,26,9,2001
116,2,10,2001
137,28,12,2001
61,17,5,2001
359,16,2,2001
363,7,3,2001
174,2,3,2001
118,4,9,2001
452,28,9,2001
250,4,1,2001
450,28,9,2001
13,26,10,2001
134,15,6,2001
214,26,2,2001
192,5,12,2001
126,24,9,2001
235,12,3,2001
465,30,8,2001
231,31,7,2001
207,20,3,2001
30,8,10,2001
80,19,1,2001
114,19,3,2001
212,13,8,2001
393,13,4,2001
374,13,12,2001
141,13,11,2001
277,1,5,2001
275,9,3,2001
145,30,3,2001
442,1,6,2001
25,23,1,2001
270,28,5,2001
229,14,12,2001
257,30,8,2001
176,21,5,2001
334,2,8,2001
230,12,7,2001
9,5,10,2001
21,19,11,2001
45,22,6,2001
102,7,2,2001
43,6,8,2001
197,20,3,2001
49,23,7,2001
228,15,6,2001
255,20,6,2001
267,10,9,2001
451,23,11,2001
360,9,1,2001
333,29,5,2001
469,25,7,2001
121,25,7,2001
397,17,8,2001
495,10,8,2001
357,29,6,2001
179,26,9,2001
17,13,2,2001
288,22,8,2001
446,8,5,2001
382,29,1,2001
386,22,6,2001
344,11,5,2001
106,12,1,2001
205,12,9,2001
198,8,1,2001
480,12,1,2001
260,7,3,2001
154,22,10,2001
46,12,10,2001
282,7,9,2001
337,31,8,2001
94,7,8,2001
399,23,12,2001
172,16,5,2001
472,16,7,2001
15,26,6,2001
101,15,2,2001
268,18,5,2001
445,22,8,2001
133,23,4,2001
5,2,5,2001
414,24,7,2001
280,30,5,2001
117,14,5,2001
144,8,8,2001
326,4,9,2001
221,19,10,2001
335,27,2,2001
232,15,11,2001
73,30,7,2001
486,15,3,2001
93,8,1,2001
48,14,2,2001
262,30,11,2001
444,2,10,2001
291,30,7,2001
31,12,1,2001
406,21,12,2001
404,4,5,2001
150,9,8,2001
483,6,9,2001
97,10,8,2001
269,23,8,2001
390,29,6,2001
2,23,11,2001
18,21,8,2001
222,12,11,2001
392,20,11,2001
322,16,7,2001
201,30,8,2001
163,18,9,2001
244,5,10,2001
218,20,4,2001
37,15,2,2001
67,30,7,2001
428,26,6,2001
489,24,5,2001
4,18,7,2001
72,29,3,2001
299,11,12,2001
479,17,4,2001
26,8,10,2001
477,12,12,2001
371,4,10,2001
304,21,8,2001
327,12,10,2001
317,20,8,2001
247,16,3,2001
119,26,1,2001
395,27,7,2001
398,22,10,2001
309,24,8,2001
178,13,12,2001
462,2,4,2001
447,26,3,2001
23,12,6,2001
194,2,3,2001
329,12,1,2001
109,3,8,2001
242,22,1,2001
187,22,6,2001
281,20,4,2001
92,13,4,2001
12,17,7,2001
151,17,4,2001
500,6,7,2001
261,4,1,2001
348,16,3,2001
123,13,3,2001
35,1,2,2001
140,22,1,2001
425,26,7,2001
100,4,1,2001
248,27,4,2001
422,18,1,2001
39,15,8,2001
157,16,2,2001
76,22,6,2001
91,16,4,2001
219,25,5,2001
66,31,1,2001
287,18,6,2001
375,9,4,2001
87,8,6,2001
475,18,7,2001
297,30,8,2001
216,11,5,2001
324,2,5,2001
98,28,12,2001
430,28,11,2001
108,19,10,2001
482,10,5,2001
208,13,11,2001
308,21,9,2001
318,19,3,2001
71,27,4,2001
478,20,4,2001
90,26,1,2001
320,28,11,2001
56,1,2,2001
283,20,9,2001
319,12,10,2001
448,18,1,2001
180,5,3,2001
454,30,1,2001
449,13,7,2001
19,16,11,2001
263,30,7,2001
416,14,12,2001
290,16,4,2001
345,18,5,2001
112,19,1,2001
241,7,12,2001
346,12,10,2001
476,3,9,2001
168,28,3,2001
249,25,6,2001
22,4,5,2001
383,6,11,2001
142,15,2,2001
162,28,3,2001
28,5,1,2001
285,14,2,2001
74,26,10,2001
266,13,12,2001
412,3,12,2001
34,21,3,2001
156,5,11,2001
339,22,6,2001
191,2,10,2001
132,21,2,2001
302,26,9,2001
341,23,12,2001
256,12,1,2001
233,22,6,2001
59,8,10,2001
148,9,7,2001
468,31,8,2001
135,19,4,2001
328,22,5,2001
236,8,10,2001
63,6,9,2001
175,8,6,2001
370,14,3,2001
217,1,2,2001
152,16,8,2001
336,11,1,2001
387,30,7,2001
340,28,2,2001
181,7,8,2001
159,7,8,2001
365,23,8,2001
139,11,4,2001
420,27,4,2001
24,9,5,2001
258,6,4,2001
82,21,5,2001
165,2,2,2001
385,23,12,2001
457,9,4,2001
497,5,10,2001
485,11,5,2001
278,9,7,2001
409,6,12,2001
113,20,11,2001
196,19,3,2001
160,23,8,2001
364,13,4,2001
381,12,10,2001
53,30,7,2001
455,18,6,2001
380,28,12,2001
177,20,8,2001
426,25,5,2001
62,27,7,2001
99,14,3,2001
85,16,5,2001
464,6,8,2001
310,23,11,2001
171,30,4,2001
186,4,12,2001
303,28,9,2001
377,2,1,2001
417,27,7,2001
362,23,7,2001
463,10,4,2001
321,5,11,2001
55,9,4,2001
193,12,7,2001
298,2,3,2001
64,1,11,2001
224,23,11,2001
400,6,7,2001
88,2,8,2001
27,8,8,2001
60,24,1,2001
211,6,8,2001
389,6,2,2001
433,31,1,2001
311,5,10,2001
323,25,5,2001
